EntryID	setDateUSYear	setDateUSMonth	setDateUSDay	setDateLOCYear	setDateLOCMonth	setDateLOCDay	RepDateYear	RepDateMonth	RepDateDay	Direction	Account	LocationName	Location_ID	Status	LOCCurrencyCode	ShareOfChargesUSD	ShareOfFXUSD	ShareOfChargesLOC	ShareOfFXLOC	SubAgentCommFXUSD	SubAgentCommChargesUSD	SubAgentCommFXLOC	SubAgentCommChargesLOC	SendPayIndicator	MTCN
796234	2019	8	27	2019	8	27	2019	8	27	I	ADH150513	FCMB - #029 - IBADAN - IBADAN BRANCH	47	S	NGN	1.18	0	418.9	0	0	0	0	0	P	6601162756
796353	2019	8	27	2019	8	27	2019	8	27	I	ADH152230	FCMB - #157 - IKEJA - OPEBI BRANCH	264	S	NGN	1.52	0	539.6	0	0	0	0	0	P	9515107439
796288	2019	8	27	2019	8	27	2019	8	27	I	ADH150876	FCMB - #085 - OWERRI - OWERRI BRANCH	118	S	NGN	0.29	0	102.95	0	0	0	0	0	P	6558978485
796237	2019	8	27	2019	8	27	2019	8	27	I	ADH150513	FCMB - #029 - IBADAN - IBADAN BRANCH	47	S	NGN	1.8	0	639	0	0	0	0	0	P	9744523503
796292	2019	8	27	2019	8	27	2019	8	27	I	ADH150898	FCMB - #087 - MATORI - MATORI BRANCH	112	S	NGN	0.9	0	319.5	0	0	0	0	0	P	4525572629
796239	2019	8	27	2019	8	27	2019	8	27	O	ADH150524	FCMB - #033 - OTA - OTTA BRANCH	58	S	NGN	2.79	0	991.5	0	0	0	0	0	S	5432650570
796296	2019	8	27	2019	8	27	2019	8	27	I	ADH150898	FCMB - #087 - MATORI - MATORI BRANCH	112	S	NGN	0.52	0	184.6	0	0	0	0	0	P	9013367019
796382	2019	8	27	2019	8	27	2019	8	27	I	ADH152670	FCMB - #163 - BADAGRY - OJO ALABA BRANCH	250	S	NGN	1.8	0	639	0	0	0	0	0	P	2896037864
796219	2019	8	27	2019	8	27	2019	8	27	I	ADH150393	FCMB - #008 - WARRI - WARRI BRANCH	45	S	NGN	1.09	0	386.95	0	0	0	0	0	P	4257160661
796206	2019	8	27	2019	8	27	2019	8	27	I	ADH150205	FCMB - #030 - LAGOS  - ALAGBADO BRANCH	51	S	NGN	1.53	0	543.15	0	0	0	0	0	P	1823845133
